cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Morelos,Aguacatero,Tercer Trimestre,Control Cultural y Control Químico,90.0,95.0
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Nayarit,Aguacatero,Tercer Trimestre,Control Cultural y Control Químico,202.0,441.0
Plagas Reglamentadas del Aguacatero,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Puebla,Aguacatero,Tercer Trimestre,Control Cultural y Control Químico,96.0,111.0
Campaña contra Moko del Plátano,Moko del Plátano (Ralstonia solanacearum Raza 2); Fusarium sacchari,Chiapas,Plátano,Tercer Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),738.0,7.0
Campaña contra Moko del Plátano,Foc R1 (Fusarium oxysporum f. sp. cubense Raza 1); Foc R2 (Fusarium oxysporum f. sp. cubense Raza 2); Fusarium sacchari,Michoacán,Plátano,Tercer Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),3.0,1.0
Campaña contra Moko del Plátano,Foc R2 (Fusarium oxysporum f. sp. cubense Raza 2); Fusarium sacchari,Nayarit,Plátano,Tercer Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),6.0,3.0
Campaña contra Moko del Plátano,Moko del Plátano (Ralstonia solanacearum Raza 2); Fusarium sacchari,Tabasco,Plátano,Tercer Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),2661.0,37.0
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Baja California,Algodón,Tercer Trimestre,Trampeo,6294.0,315.0
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Chihuahua,Algodón,Tercer Trimestre,Control Cultural y Trampeo,57551.0,861.0
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Coahuila,Algodón,Tercer Trimestre,"Control Cultural, Trampeo y Control Químico",661.0,32.0
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Durango,Algodón,Tercer Trimestre,Control Cultural y Trampeo,2.0,1.0
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Sonora,Algodón,Tercer Trimestre,Trampeo,1969.0,48.0
Plagas Reglamentadas del Algodonero,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Tamaulipas,Algodón,Tercer Trimestre,"Control Cultural, Trampeo y Control Químico",3935.0,25.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Caña de azúcar,Tercer Trimestre,Control Químico,171.0,27.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Limón,Tercer Trimestre,Control Químico,4.0,2.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Maíz,Tercer Trimestre,Control Químico,71.0,15.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Palma de aceite,Tercer Trimestre,Control Químico,9.0,1.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Pasto,Tercer Trimestre,Control Químico,319.0,48.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Pasto,Tercer Trimestre,Control biológico,145.0,8.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Sorgo,Tercer Trimestre,Control Químico,0.0,0.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Chiapas,Pasto,Tercer Trimestre,Control biológico,178.0,46.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Chiapas,Pasto,Tercer Trimestre,Control Químico,32.0,7.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Guerrero,Pasto,Tercer Trimestre,Control Químico,215.0,27.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Morelos,Pasto,Tercer Trimestre,Control Químico,368.0,7.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Caña de azúcar,Tercer Trimestre,Control Químico,24.0,3.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Pasto,Tercer Trimestre,Control Químico,58.0,6.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Pasto,Tercer Trimestre,Control biológico,20.0,2.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Piña,Tercer Trimestre,Control Químico,84.0,8.0
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Aguacate,Tercer Trimestre,Control Químico,11.0,2.0
